UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
www-data  1145     1  1160  0    5 out07 ?        00:00:00 /usr/bin/mono /usr/lib/mono/4.5/xsp4.exe --port 8084 --address 0.0.0.0 --appconfigdir /etc/xsp4 --nonstop
www-data  1145     1  1172  0    5 out07 ?        00:00:00 /usr/bin/mono /usr/lib/mono/4.5/xsp4.exe --port 8084 --address 0.0.0.0 --appconfigdir /etc/xsp4 --nonstop
www-data  1145     1  1355  0    5 out07 ?        00:00:00 /usr/bin/mono /usr/lib/mono/4.5/xsp4.exe --port 8084 --address 0.0.0.0 --appconfigdir /etc/xsp4 --nonstop
www-data  1145     1  1356  0    5 out07 ?        00:00:00 /usr/bin/mono /usr/lib/mono/4.5/xsp4.exe --port 8084 --address 0.0.0.0 --appconfigdir /etc/xsp4 --nonstop
root      1147     1  1147  0    3 out07 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1147     1  1149  0    3 out07 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1147     1  1151  0    3 out07 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1173     1  1173  0   15 out07 ?        00:00:07 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1474  0   15 out07 ?        00:00:05 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1475  0   15 out07 ?        00:00:00 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
